11.18,31.46,992.25,23.65
11.19,31.49,992.24,23.69
11.20,31.50,992.25,23.81
11.21,31.55,992.23,23.68
11.22,31.60,992.28,23.58
11.23,31.62,992.27,23.58
11.24,31.63,992.27,23.67
11.25,31.69,992.28,23.61
11.26,31.66,992.31,23.83
11.27,31.62,992.33,23.89
11.28,31.59,992.30,24.07
11.29,31.58,992.33,24.00
11.30,31.59,992.33,23.90
11.31,31.59,992.33,23.71
11.32,31.52,992.39,24.46
11.33,31.46,992.41,24.27
11.34,31.42,992.42,24.31
11.35,31.43,992.42,24.05
11.36,31.27,992.49,21.74
11.37,31.08,992.50,21.49
11.38,30.90,992.50,21.53
11.39,30.77,992.42,21.79
11.40,30.63,992.49,22.24
11.41,30.46,992.51,22.85
11.42,30.29,992.53,23.13
11.43,30.14,992.55,23.43
11.44,29.99,992.56,23.50
11.45,29.89,992.55,23.50
11.46,29.77,992.56,23.55
11.47,29.65,992.54,23.61
11.48,29.56,992.56,23.64
11.49,29.47,992.55,23.81
11.50,29.50,992.52,23.48
11.51,29.62,992.54,23.08
11.52,29.73,992.54,23.18
11.53,29.78,992.54,23.35
11.54,29.85,992.54,23.04
11.55,29.96,992.53,23.13
11.56,30.06,992.49,23.07
11.57,30.17,992.52,23.17
11.58,30.28,992.42,23.16
11.59,30.39,992.50,23.14
12.00,30.48,992.49,23.11
12.01,30.54,992.50,23.27
12.02,30.59,992.52,23.41
12.03,30.64,992.52,23.51
12.04,30.68,992.54,23.36
12.05,30.73,992.55,23.47
12.06,30.78,992.54,23.36
12.07,30.76,992.54,23.63
12.08,30.73,992.57,23.79
12.09,30.75,992.58,23.45
12.10,30.82,992.58,23.29
12.11,30.92,992.61,23.17
12.12,31.01,992.62,23.06
12.13,31.08,992.64,23.11
12.14,31.14,992.64,23.00
12.15,31.22,992.64,22.92
12.16,31.29,992.66,22.97
12.17,31.30,992.65,23.22
12.18,31.29,992.63,23.27
12.19,31.28,992.65,23.34
12.20,31.29,992.64,23.37
12.21,31.25,992.65,23.55
12.22,31.21,992.63,23.60
12.23,31.16,992.65,23.79
12.24,31.15,992.66,23.81
12.25,31.14,992.67,23.78
12.26,31.11,992.68,23.96
12.27,31.11,992.67,23.88
12.28,31.18,992.69,23.50
12.29,31.24,992.70,23.37
12.30,31.31,992.70,23.39
12.31,31.34,992.71,23.33
12.32,31.42,992.73,23.14
12.33,31.51,992.70,23.07
12.34,31.53,992.73,23.26
12.35,31.46,992.75,23.68
12.36,31.37,992.72,23.93
12.37,31.29,992.71,23.98
12.38,31.22,992.72,24.08
12.39,31.15,992.74,24.23
12.40,31.10,992.74,24.12
12.41,31.05,992.77,24.25
12.42,31.02,992.75,24.23
12.43,31.00,992.75,24.25
12.44,30.98,992.76,24.23
12.45,31.01,992.75,24.22
12.46,31.05,992.78,24.13
12.47,31.07,992.80,24.14
12.48,31.11,992.79,24.04
12.49,31.15,992.79,24.07
12.50,31.20,992.79,23.83
12.51,31.27,992.81,23.70
12.52,31.30,992.81,23.66
12.53,31.30,992.82,23.82
12.54,31.31,992.81,23.81
12.55,31.33,992.83,23.71
12.56,31.34,992.84,23.69
12.57,31.32,992.86,24.03
12.58,31.27,992.89,24.22
12.59,31.23,992.84,24.21
13.00,31.18,992.86,24.34
13.01,31.13,992.88,24.40
13.02,31.11,992.87,24.20
13.03,31.08,992.88,24.36
13.04,31.05,992.88,24.59
13.05,31.02,992.87,24.51
13.06,31.02,992.89,24.45
13.07,31.02,992.88,24.35
13.08,31.06,992.91,24.17
13.09,31.02,992.88,21.84
13.10,30.94,992.90,21.43
13.11,30.81,992.87,21.83
13.12,30.76,992.89,21.80
13.13,30.65,992.88,22.16
13.14,30.62,992.88,22.33
13.15,30.59,992.88,22.39
13.16,30.57,992.89,22.58
13.17,30.51,992.91,22.67
13.18,30.46,992.89,22.65
13.19,30.39,992.91,22.73
13.20,30.29,992.92,22.96
13.21,30.20,992.93,23.01
13.22,30.09,992.92,23.20
13.23,29.96,992.92,23.46
13.24,29.86,992.92,23.52
13.25,29.82,992.93,23.41
13.26,29.78,992.94,23.39
13.27,29.74,992.92,23.37
13.28,29.71,992.95,23.49
13.29,29.64,992.95,23.59
13.30,29.68,992.95,23.38
13.31,29.66,992.96,23.48
13.32,29.61,992.97,23.56
13.33,29.55,992.98,23.77
13.34,29.49,992.98,23.78
13.35,29.44,992.98,23.84
13.36,29.39,993.01,23.87
13.37,29.29,993.00,24.13
13.38,29.25,993.01,23.96
13.39,29.21,993.00,24.01
13.40,29.18,992.99,24.07
13.41,29.13,992.99,24.09
13.42,29.09,993.00,24.12
13.43,29.03,993.01,24.21
13.44,28.97,993.00,24.27
13.45,28.92,992.99,24.36
13.46,28.88,993.00,24.47
13.47,28.84,993.01,24.49
13.48,28.81,993.00,24.43
13.49,28.77,993.00,24.51
13.50,28.74,993.00,24.56
13.51,28.73,993.01,24.52
